relseconds,w,x,y,z
24.479,-0.9909064769744873,-0.038628775626420975,0.008613977581262589,-0.12859998643398285
24.755,-0.9908022284507751,-0.03926066681742668,0.008632641285657883,-0.12920942902565002
25.063,-0.9907769560813904,-0.039445661008358,0.006871799007058144,-0.12945225834846497
25.365,-0.9907769560813904,-0.039445661008358,0.006871799007058144,-0.12945225834846497
25.666,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
25.968,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
26.269,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
26.57,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
26.871,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
27.178,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
27.48,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
27.781,-0.9905866980552673,-0.03960641473531723,0.007227684371173382,-0.1308325082063675
28.082,-0.9901788830757141,-0.03930263593792915,0.007555698975920677,-0.13395525515079498
28.384,-0.990155816078186,-0.03911656141281128,0.007034983020275831,-0.1342082917690277
28.695,-0.9900579452514648,-0.039037227630615234,0.0077080694027245045,-0.13491478562355042
29.005,-0.9900579452514648,-0.039037227630615234,0.0077080694027245045,-0.13491478562355042
29.428,-0.9900579452514648,-0.039037227630615234,0.0077080694027245045,-0.13491478562355042
29.73,-0.9900579452514648,-0.039037227630615234,0.0077080694027245045,-0.13491478562355042
30.031,-0.9898205995559692,-0.038746532052755356,0.008732120506465435,-0.13666613399982452
30.333,-0.989820659160614,-0.03944806009531021,0.005621757823973894,-0.13662834465503693
30.661,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
30.962,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
31.263,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
31.57,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
31.872,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
32.173,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
32.474,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
32.775,-0.9897070527076721,-0.03889079391956329,0.009299048222601414,-0.13740825653076172
33.076,-0.9892382025718689,-0.03887226805090904,0.008849451318383217,-0.14077796041965485
33.378,-0.9891632199287415,-0.039235737174749374,0.005686608143150806,-0.14136597514152527
33.685,-0.9890947341918945,-0.03910457715392113,0.008368746377527714,-0.14174772799015045
33.987,-0.9890947341918945,-0.03910457715392113,0.008368746377527714,-0.14174772799015045
34.288,-0.9890294671058655,-0.03834397718310356,0.008044669404625893,-0.14242789149284363
34.59,-0.9889420866966248,-0.03971349820494652,0.006228249985724688,-0.1427500993013382
34.913,-0.9888769388198853,-0.03958721086382866,0.008089648559689522,-0.1431427001953125
